ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,Player_URL,Image_URL,Photo_Local
1,Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a7e4760c/Ismael-Aaneba,https://fbref.com/req/202302030/images/headshots/a7e4760c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ismael_Aaneba.jpg
2,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33,33,"2,889",32.1,3,0,3,3,0,0,4,1,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,https://fbref.com/req/202302030/images/headshots/32c2d95f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yunis_Abdelhamid.jpg
3,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18,15,"1,320",14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a4c3f7af/Mehdi-Abeid,https://fbref.com/req/202302030/images/headshots/a4c3f7af_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mehdi_Abeid.jpg
4,Laurent Abergel,fr FRA,MF,Lorient,27,1993,38,32,"2,963",32.9,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,Matches,https://fbref.com/en/players/31626657/Laurent-Abergel,https://fbref.com/req/202302030/images/headshots/31626657_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Laurent_Abergel.jpg
5,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,Matches,https://fbref.com/en/players/469d3d84/Charles-Abi,https://fbref.com/req/202302030/images/headshots/469d3d84_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Charles_Abi.jpg
6,Matthis Abline,fr FRA,FW,Rennes,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,https://fbref.com/req/202302030/images/headshots/0e46fa2f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matthis_Abline.jpg
7,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14,14,"1,260",14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8bc373ea/Pape-Abou-Cisse,https://fbref.com/req/202302030/images/headshots/8bc373ea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Pape_Abou_Cissé.jpg
8,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,35,25,"2,418",26.9,2,5,7,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,Matches,https://fbref.com/en/players/26777636/Yacine-Adli,https://fbref.com/req/202302030/images/headshots/26777636_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yacine_Adli.jpg
9,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35,35,"3,147",35.0,3,1,4,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,https://fbref.com/req/202302030/images/headshots/288e1e13_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Nayef_Aguerd.jpg
10,Ruben Aguilar,fr FRA,"DF,MF",Monaco,27,1993,33,27,"2,225",24.7,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,https://fbref.com/req/202302030/images/headshots/3dd738a1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ruben_Aguilar.jpg
11,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,20,10,899,10.0,2,0,2,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,Matches,https://fbref.com/en/players/5ea9ebd4/Matteo-Ahlinvi,https://fbref.com/req/202302030/images/headshots/5ea9ebd4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Matteo_Ahlinvi.jpg
12,Jean-Eudes Aholou,ci CIV,MF,Monaco,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,https://fbref.com/req/202302030/images/headshots/48b28bfd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Eudes_Aholou.jpg
13,Jean-Eudes Aholou,ci CIV,"MF,DF",Strasbourg,26,1994,27,26,"2,146",23.8,2,2,4,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,Matches,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,https://fbref.com/req/202302030/images/headshots/48b28bfd_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Eudes_Aholou.jpg
14,Rayan Aït-Nouri,dz ALG,DF,Angers,19,2001,3,2,187,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,Matches,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,https://fbref.com/req/202302030/images/headshots/9b398aea_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rayan_Aït-Nouri.jpg
15,Ludovic Ajorque,fr FRA,FW,Strasbourg,26,1994,35,34,"2,967",33.0,16,4,20,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,Matches,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,https://fbref.com/req/202302030/images/headshots/462475ed_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ludovic_Ajorque.jpg
16,Marley Aké,fr FRA,"FW,MF",Marseille,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/414e1f69/Marley-Ake,https://fbref.com/req/202302030/images/headshots/414e1f69_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Marley_Aké.jpg
17,Sofiane Alakouch,ma MAR,DF,Nîmes,22,1998,22,17,"1,505",16.7,0,2,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,Matches,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,https://fbref.com/req/202302030/images/headshots/5314e067_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sofiane_Alakouch.jpg
18,Mohamed Ali Cho,fr FRA,FW,Angers,16,2004,21,1,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,https://fbref.com/req/202302030/images/headshots/f8405304_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mohamed_Ali_Cho.jpg
19,Rachid Alioui,ma MAR,FW,Angers,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/bdedd861/Rachid-Alioui,https://fbref.com/req/202302030/images/headshots/bdedd861_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Rachid_Alioui.jpg
20,Saturnin Allagbé,bj BEN,GK,Dijon,26,1993,12,12,"1,080",12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b052b8bf/Saturnin-Allagbe,https://fbref.com/req/202302030/images/headshots/b052b8bf_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Saturnin_Allagbé.jpg
21,Ibrahim Amadou,fr FRA,MF,Angers,27,1993,24,20,"1,504",16.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9260926b/Ibrahim-Amadou,https://fbref.com/req/202302030/images/headshots/9260926b_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ibrahim_Amadou.jpg
22,Romain Amalfitano,fr FRA,MF,Dijon,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d7bf3d19/Romain-Amalfitano,https://fbref.com/req/202302030/images/headshots/d7bf3d19_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Romain_Amalfitano.jpg
23,Jordan Amavi,fr FRA,"DF,MF",Marseille,26,1994,13,10,813,9.0,1,0,1,1,0,0,3,1,0.11,0.0,0.11,0.11,0.11,Matches,https://fbref.com/en/players/22721b88/Jordan-Amavi,https://fbref.com/req/202302030/images/headshots/22721b88_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jordan_Amavi.jpg
24,Thierry Ambrose,gp GLP,"FW,MF",Metz,23,1997,23,5,753,8.4,0,1,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,Matches,https://fbref.com/en/players/2945f4b7/Thierry-Ambrose,https://fbref.com/req/202302030/images/headshots/2945f4b7_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Thierry_Ambrose.jpg
25,Joachim Andersen,dk DEN,DF,Lyon,24,1996,3,2,192,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,https://fbref.com/req/202302030/images/headshots/e34fc66d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Joachim_Andersen.jpg
26,Benjamin André,fr FRA,MF,Lille,29,1990,35,35,"2,885",32.1,0,1,1,0,0,0,10,0,0.0,0.03,0.03,0.0,0.03,Matches,https://fbref.com/en/players/ef9c1c95/Benjamin-Andre,https://fbref.com/req/202302030/images/headshots/ef9c1c95_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Benjamin_André.jpg
27,Victorien Angban,ci CIV,MF,Metz,23,1996,26,21,"1,672",18.6,0,1,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05,Matches,https://fbref.com/en/players/d8992b84/Victorien-Angban,https://fbref.com/req/202302030/images/headshots/d8992b84_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Victorien_Angban.jpg
28,Houssem Aouar,dz ALG,MF,Lyon,22,1998,30,23,"1,781",19.8,7,3,10,5,2,2,3,1,0.35,0.15,0.51,0.25,0.4,Matches,https://fbref.com/en/players/a5db0bec/Houssem-Aouar,https://fbref.com/req/202302030/images/headshots/a5db0bec_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Houssem_Aouar.jpg
29,Adil Aouchiche,dz ALG,"MF,FW",Saint-Étienne,18,2002,34,21,"1,731",19.2,2,5,7,2,0,0,2,0,0.1,0.26,0.36,0.1,0.36,Matches,https://fbref.com/en/players/b94b8be1/Adil-Aouchiche,https://fbref.com/req/202302030/images/headshots/b94b8be1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Adil_Aouchiche.jpg
30,Dennis Appiah,fr FRA,DF,Nantes,28,1992,22,16,"1,556",17.3,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,Matches,https://fbref.com/en/players/feb5d3ab/Dennis-Appiah,https://fbref.com/req/202302030/images/headshots/feb5d3ab_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dennis_Appiah.jpg
31,Luiz Araújo,br BRA,MF,Lille,24,1996,28,17,"1,496",16.6,4,2,6,4,0,0,5,0,0.24,0.12,0.36,0.24,0.36,Matches,https://fbref.com/en/players/fa18c72e/Luiz-Araujo,https://fbref.com/req/202302030/images/headshots/fa18c72e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Luiz_Araújo.jpg
32,Karim Aribi,dz ALG,FW,Nîmes,26,1994,13,2,294,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/08534272/Karim-Aribi,https://fbref.com/req/202302030/images/headshots/08534272_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Karim_Aribi.jpg
33,Roger Assalé,ci CIV,"MF,FW",Dijon,26,1993,17,11,828,9.2,1,1,2,1,0,0,0,1,0.11,0.11,0.22,0.11,0.22,Matches,https://fbref.com/en/players/5d5219b1/Roger-Assale,https://fbref.com/req/202302030/images/headshots/5d5219b1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Roger_Assalé.jpg
34,Youcef Atal,dz ALG,"MF,DF",Nice,24,1996,18,13,956,10.6,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,Matches,https://fbref.com/en/players/6a827d8e/Youcef-Atal,https://fbref.com/req/202302030/images/headshots/6a827d8e_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Youcef_Atal.jpg
35,Jean-Kévin Augustin,fr FRA,FW,Nantes,23,1997,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/97bfa797/Jean-Kevin-Augustin,https://fbref.com/req/202302030/images/headshots/97bfa797_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Kévin_Augustin.jpg
36,Ludovic Baal,gf GUF,DF,Brest,34,1986,7,3,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d3ce9f1f/Ludovic-Baal,https://fbref.com/req/202302030/images/headshots/d3ce9f1f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Ludovic_Baal.jpg
37,Loïc Bade,fr FRA,DF,Lens,20,2000,31,29,"2,610",29.0,0,0,0,0,0,0,11,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/114bbdee/Loic-Bade,https://fbref.com/req/202302030/images/headshots/114bbdee_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Loïc_Bade.jpg
38,Benoît Badiashile,fr FRA,DF,Monaco,19,2001,35,32,"2,870",31.9,2,1,3,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09,Matches,https://fbref.com/en/players/06df8256/Benoit-Badiashile,https://fbref.com/req/202302030/images/headshots/06df8256_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Benoît_Badiashile.jpg
39,Stéphane Bahoken,cm CMR,FW,Angers,28,1992,30,18,"1,616",18.0,6,2,8,6,0,1,4,0,0.33,0.11,0.45,0.33,0.45,Matches,https://fbref.com/en/players/5046b7d4/Stephane-Bahoken,https://fbref.com/req/202302030/images/headshots/5046b7d4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stéphane_Bahoken.jpg
40,Stefan Bajic,fr FRA,GK,Saint-Étienne,18,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/be13e5a8/Stefan-Bajic,https://fbref.com/req/202302030/images/headshots/be13e5a8_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Stefan_Bajic.jpg
41,Mitchel Bakker,nl NED,"DF,MF",Paris Saint-Germain,20,2000,26,18,"1,694",18.8,0,2,2,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,Matches,https://fbref.com/en/players/a8567629/Mitchel-Bakker,https://fbref.com/req/202302030/images/headshots/a8567629_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Mitchel_Bakker.jpg
42,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,17,2002,7,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2b5a35e5/Dilane-Bakwa,https://fbref.com/req/202302030/images/headshots/2b5a35e5_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dilane_Bakwa.jpg
43,Leonardo Balerdi,ar ARG,DF,Marseille,21,1999,21,19,"1,634",18.2,2,0,2,2,0,0,6,1,0.11,0.0,0.11,0.11,0.11,Matches,https://fbref.com/en/players/7c3ed041/Leonardo-Balerdi,https://fbref.com/req/202302030/images/headshots/7c3ed041_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Leonardo_Balerdi.jpg
44,Fodé Ballo-Touré,sn SEN,DF,Monaco,23,1997,24,6,662,7.4,0,3,3,0,0,0,2,0,0.0,0.41,0.41,0.0,0.41,Matches,https://fbref.com/en/players/f449640d/Fode-Ballo-Toure,https://fbref.com/req/202302030/images/headshots/f449640d_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Fodé_Ballo-Touré.jpg
45,Abdoulaye Bamba,ci CIV,DF,Angers,30,1990,16,16,"1,347",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,https://fbref.com/req/202302030/images/headshots/7fecbcdb_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Abdoulaye_Bamba.jpg
46,Jonathan Bamba,ci CIV,MF,Lille,24,1996,38,34,"2,985",33.2,6,9,15,6,0,0,2,0,0.18,0.27,0.45,0.18,0.45,Matches,https://fbref.com/en/players/b2bd0f6c/Jonathan-Bamba,https://fbref.com/req/202302030/images/headshots/b2bd0f6c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jonathan_Bamba.jpg
47,Robson Bambu,br BRA,DF,Nice,22,1997,15,12,"1,046",11.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/d4fa7d01/Robson-Bambu,https://fbref.com/req/202302030/images/headshots/d4fa7d01_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Robson_Bambu.jpg
48,Simon Banza,cd COD,FW,Lens,23,1996,34,12,"1,372",15.2,5,2,7,4,1,1,6,1,0.33,0.13,0.46,0.26,0.39,Matches,https://fbref.com/en/players/be47b750/Simon-Banza,https://fbref.com/req/202302030/images/headshots/be47b750_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Simon_Banza.jpg
49,Danilo Barbosa,br BRA,DF,Nice,24,1996,4,3,250,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0557ff4f/Danilo-Barbosa,https://fbref.com/req/202302030/images/headshots/0557ff4f_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Danilo_Barbosa.jpg
50,Melvin Bard,fr FRA,DF,Lyon,19,2000,14,4,432,4.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1ddbc7ca/Melvin-Bard,https://fbref.com/req/202302030/images/headshots/1ddbc7ca_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Melvin_Bard.jpg
51,Toma Bašić,hr CRO,MF,Bordeaux,23,1996,34,32,"2,601",28.9,4,1,5,4,0,0,7,0,0.14,0.03,0.17,0.14,0.17,Matches,https://fbref.com/en/players/80556f08/Toma-Basic,https://fbref.com/req/202302030/images/headshots/80556f08_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Toma_Bašić.jpg
52,Cristian Battocchio,it ITA,MF,Brest,28,1992,15,2,355,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/0f9b8301/Cristian-Battocchio,https://fbref.com/req/202302030/images/headshots/0f9b8301_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Cristian_Battocchio.jpg
53,Paul Baysse,fr FRA,DF,Bordeaux,32,1988,31,29,"2,614",29.0,2,2,4,2,0,0,5,1,0.07,0.07,0.14,0.07,0.14,Matches,https://fbref.com/en/players/2515040a/Paul-Baysse,https://fbref.com/req/202302030/images/headshots/2515040a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Paul_Baysse.jpg
54,Erwan Belhadji,fr FRA,FW,Dijon,19,2001,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7615f332/Erwan-Belhadji,,
55,Haris Belkebla,dz ALG,MF,Brest,26,1994,35,33,"2,727",30.3,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2b1bed19/Haris-Belkebla,https://fbref.com/req/202302030/images/headshots/2b1bed19_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Haris_Belkebla.jpg
56,Jean-Ricner Bellegarde,ht HAI,MF,Strasbourg,22,1998,36,25,"2,086",23.2,1,1,2,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches,https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,https://fbref.com/req/202302030/images/headshots/10f0fdd3_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Jean-Ricner_Bellegarde.jpg
57,Sami Ben Amar,ma MAR,FW,Nîmes,22,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c05d65d1/Sami-Ben-Amar,https://fbref.com/req/202302030/images/headshots/c05d65d1_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Sami_Ben_Amar.jpg
58,Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33,1987,24,19,"1,703",18.9,2,4,6,2,0,0,2,0,0.11,0.21,0.32,0.11,0.32,Matches,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa,https://fbref.com/req/202302030/images/headshots/74dc806c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Hatem_Ben_Arfa.jpg
59,Salim Ben Seghir,fr FRA,FW,Nice,17,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1f6298f2/Salim-Ben-Seghir,https://fbref.com/req/202302030/images/headshots/1f6298f2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Salim_Ben_Seghir.jpg
60,Wissam Ben Yedder,fr FRA,FW,Monaco,29,1990,37,32,"2,607",29.0,20,7,27,10,10,12,3,0,0.69,0.24,0.93,0.35,0.59,Matches,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder,https://fbref.com/req/202302030/images/headshots/942b4f90_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Wissam_Ben_Yedder.jpg
61,Samy Benchamma,fr FRA,MF,Montpellier,20,2000,5,0,42,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/90c99c5c/Samy-Benchamma,https://fbref.com/req/202302030/images/headshots/90c99c5c_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Samy_Benchamma.jpg
62,Darío Benedetto,ar ARG,FW,Marseille,30,1990,32,19,"1,579",17.5,5,3,8,4,1,1,3,2,0.28,0.17,0.46,0.23,0.4,Matches,https://fbref.com/en/players/bef0a7ac/Dario-Benedetto,https://fbref.com/req/202302030/images/headshots/bef0a7ac_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Darío_Benedetto.jpg
63,Walter Benítez,ar ARG,GK,Nice,27,1993,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/8a2248b4/Walter-Benitez,https://fbref.com/req/202302030/images/headshots/8a2248b4_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Walter_Benítez.jpg
64,Loris Benito,ch SUI,DF,Bordeaux,28,1992,31,30,"2,651",29.5,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/f5b6fb78/Loris-Benito,https://fbref.com/req/202302030/images/headshots/f5b6fb78_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Loris_Benito.jpg
65,Bilal Benkhedim,dz ALG,FW,Saint-Étienne,19,2001,3,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b6047994/Bilal-Benkhedim,https://fbref.com/req/202302030/images/headshots/b6047994_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Bilal_Benkhedim.jpg
66,Djamel Benlamri,dz ALG,DF,Lyon,30,1989,6,0,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2ab14aaa/Djamel-Benlamri,https://fbref.com/req/202302030/images/headshots/2ab14aaa_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Djamel_Benlamri.jpg
67,Yassine Benrahou,fr FRA,MF,Nîmes,21,1999,23,15,"1,239",13.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/fbf76716/Yassine-Benrahou,https://fbref.com/req/202302030/images/headshots/fbf76716_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yassine_Benrahou.jpg
68,Yassine Benzia,dz ALG,"MF,FW",Dijon,25,1994,7,5,407,4.5,2,1,3,0,2,2,1,0,0.44,0.22,0.66,0.0,0.22,Matches,https://fbref.com/en/players/6fbde63a/Yassine-Benzia,https://fbref.com/req/202302030/images/headshots/6fbde63a_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Yassine_Benzia.jpg
69,Valon Berisha,xk KVX,MF,Reims,27,1993,24,17,"1,645",18.3,0,3,3,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Matches,https://fbref.com/en/players/d5575935/Valon-Berisha,https://fbref.com/req/202302030/images/headshots/d5575935_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Valon_Berisha.jpg
70,Paul Bernardoni,fr FRA,GK,Angers,23,1997,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/28dabd43/Paul-Bernardoni,https://fbref.com/req/202302030/images/headshots/28dabd43_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Paul_Bernardoni.jpg
71,Juan Bernat,es ESP,DF,Paris Saint-Germain,27,1993,3,2,194,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/433dc9a2/Juan-Bernat,https://fbref.com/req/202302030/images/headshots/433dc9a2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Juan_Bernat.jpg
72,Dimitry Bertaud,cd COD,GK,Montpellier,22,1998,9,7,745,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,https://fbref.com/req/202302030/images/headshots/380a15e2_2022.jpg,file:///C:/Users/DZ Laptops/Desktop/ACP/player_photos\Dimitry_Bertaud.jpg
